,Title,Year,Runtime,Genre,Director,Writer,Actor,MPAARating,Description,numUserRatings,numCriticRatings,numIMDBRatings,IMDBRating
67,Once Upon a Time in America,1984,229 min,Crime,Sergio Leone,Harry Grey (novel),Robert De Niro,"Rated R for strong violence, sexual content, language and some drug use","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",494,111,"219,650",8.4
68,North by Northwest,1959,136 min,Action,Alfred Hitchcock,Ernest Lehman,Cary Grant,Approved,"A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.",511,201,"219,225",8.4
69,Das Boot,1981,149 min,Adventure,Wolfgang Petersen,Wolfgang Petersen (screenplay),Jürgen Prochnow,Rated R for some war violence and brief language,"The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror.",426,96,"167,352",8.4
70,Vertigo,1958,128 min,Mystery,Alfred Hitchcock,Alec Coppel (screenplay),James Stewart,PG,"A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",688,194,"247,264",8.4
71,Witness for the Prosecution,1957,116 min,Crime,Billy Wilder,Agatha Christie (in Agatha Christie's international stage success),Tyrone Power,Approved,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,202,75,"62,635",8.4
72,Star Wars: Episode VI - Return of the Jedi,1983,131 min,Action,Richard Marquand,Lawrence Kasdan (screenplay),Mark Hamill,Rated PG for sci-fi action violence,"After rescuing Han Solo from the palace of Jabba the Hutt, the rebels attempt to destroy the second Death Star, while Luke struggles to make Vader return from the dark side of the Force.",646,197,"677,045",8.4
73,M,1931,117 min,Crime,Fritz Lang,Thea von Harbou (script),Peter Lorre,Not Rated,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",287,193,"98,507",8.4
74,Reservoir Dogs,1992,99 min,Crime,Quentin Tarantino,Quentin Tarantino,Harvey Keitel,Rated R for strong violence and language,"After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",928,173,"660,427",8.4
75,Braveheart,1995,178 min,Biography,Mel Gibson,Randall Wallace,Mel Gibson,Rated R for brutal medieval warfare,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.","1,062",133,"732,683",8.4
76,Amélie,2001,122 min,Comedy,Jean-Pierre Jeunet,Guillaume Laurant (scenario),Audrey Tautou,Rated R for sexual content,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","1,313",242,"531,249",8.4
77,Requiem for a Dream,2000,102 min,Drama,Darren Aronofsky,Hubert Selby Jr. (based on the book by),Ellen Burstyn,"Rated R for intense depiction of drug addiction, graphic sexuality, strong language and some violence",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,"1,913",233,"570,173",8.4
78,A Clockwork Orange,1971,136 min,Crime,Stanley Kubrick,Stanley Kubrick (screenplay),Malcolm McDowell,X,"In future Britain, charismatic delinquent Alex DeLarge is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan.","1,342",218,"554,772",8.4
79,Taxi Driver,1976,113 min,Crime,Martin Scorsese,Paul Schrader,Robert De Niro,R,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",882,208,"503,794",8.3
80,Double Indemnity,1944,107 min,Crime,Billy Wilder,Billy Wilder (screenplay),Fred MacMurray,Passed,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.,322,176,"97,219",8.4
81,Toy Story 3,2010,103 min,Animation,Lee Unkrich,John Lasseter (story by),Tom Hanks,G,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",727,451,"541,014",8.3
82,Lawrence of Arabia,1962,216 min,Adventure,David Lean,T.E. Lawrence (writings),Peter O'Toole,PG,"The story of TE Lawrence, the English officer who successfully united and lead the diverse, often warring, Arab tribes during World War 1 in order to fight the Turks.",557,181,"191,671",8.4
83,To Kill a Mockingbird,1962,129 min,Crime,Robert Mulligan,"Harper Lee (based on her novel ""To Kill a Mockingbird"")",Gregory Peck,Not Rated,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his kids against prejudice.",468,127,"213,649",8.4
84,Eternal Sunshine of the Spotless Mind,2004,108 min,Drama,Michel Gondry,Charlie Kaufman (story),Jim Carrey,"Rated R for language, some drug and sexual content","When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with.","1,512",273,"662,938",8.3
85,Amadeus,1984,160 min,Biography,Milos Forman,Peter Shaffer (original stage play),F. Murray Abraham,Rated R for brief nudity,"The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.",549,134,"269,218",8.3
86,Full Metal Jacket,1987,116 min,Drama,Stanley Kubrick,Gustav Hasford (novel),Matthew Modine,R,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,694,127,"481,985",8.3
87,The Sting,1973,129 min,Comedy,George Roy Hill,David S. Ward,Paul Newman,PG,"In Chicago in September 1936, a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.",251,119,"174,541",8.3
88,2001: A Space Odyssey,1968,149 min,Adventure,Stanley Kubrick,Stanley Kubrick (screenplay),Keir Dullea,G,"Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.","1,730",284,"424,669",8.3
89,Bicycle Thieves,1948,89 min,Drama,Vittorio De Sica,Cesare Zavattini (story),Lamberto Maggiorani,Not Rated,"Set in Post-WWII Italy, a working class man's bicycle is stolen. He and his son set out to find it.",227,142,"93,842",8.3
90,Singin' in the Rain,1952,103 min,Comedy,Stanley Donen,"Adolph Green (story and screenplay: suggested by the song ""Singin' In The Rain"")",Gene Kelly,Approved,A silent film production company and cast make a difficult transition to sound.,567,169,"149,186",8.3
91,Toy Story,1995,81 min,Animation,John Lasseter,John Lasseter (original story by),Tom Hanks,G,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,383,166,"619,177",8.3
92,Snatch,2000,104 min,Comedy,Guy Ritchie,Guy Ritchie,Jason Statham,"Rated R for strong violence, language and some nudity","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",725,151,"597,784",8.3
93,Monty Python and the Holy Grail,1975,91 min,Adventure,Terry Gilliam,Graham Chapman,Graham Chapman,PG,"King Arthur and his knights embark on a low-budget search for the Grail, encountering many, very silly obstacles.",657,131,"380,184",8.3
94,Inglourious Basterds,2009,153 min,Adventure,Quentin Tarantino,Quentin Tarantino,Brad Pitt,"Rated R for strong graphic violence, language and brief sexuality","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","1,526",486,"878,958",8.3
95,The Kid,1921,68 min,Comedy,Charles Chaplin,Charles Chaplin (as Charlie Chaplin),Charles Chaplin,Not Rated,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",114,86,"66,630",8.3
96,L.A. Confidential,1997,138 min,Crime,Curtis Hanson,James Ellroy (novel),Kevin Spacey,"Rated R for strong violence and language, and for sexuality","As corruption grows in 1950s LA, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",621,177,"412,215",8.3
97,For a Few Dollars More,1965,132 min,Western,Sergio Leone,Sergio Leone (scenario),Clint Eastwood,Approved,Two bounty hunters with the same intentions team up to track down a Western outlaw.,219,115,"156,152",8.3
98,Rashômon,1950,88 min,Crime,Akira Kurosawa,Ryûnosuke Akutagawa (stories),Toshirô Mifune,Unrated,A heinous crime and its aftermath are recalled from differing points of view.,265,151,"101,921",8.3
99,The Apartment,1960,125 min,Comedy,Billy Wilder,Billy Wilder,Jack Lemmon,Approved,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",239,183,"108,665",8.3
100,Scarface,1983,170 min,Crime,Brian De Palma,Oliver Stone (screenplay),Al Pacino,R,"In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",848,146,"534,270",8.3
101,Indiana Jones and the Last Crusade,1989,127 min,Action,Steven Spielberg,Jeffrey Boam (screenplay),Harrison Ford,PG-13,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana Jones must follow in his father's footsteps and stop the Nazis.",476,149,"512,213",8.3
102,Jodaeiye Nader az Simin,2011,123 min,Drama,Asghar Farhadi,Asghar Farhadi,Peyman Moaadi,Rated PG-13 for mature thematic material,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,262,354,"150,858",8.4
103,Metropolis,1927,153 min,Drama,Fritz Lang,Thea von Harbou (screenplay),Brigitte Helm,Not Rated,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",412,260,"111,206",8.3
104,All About Eve,1950,138 min,Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz (written for the screen by),Bette Davis,Approved,An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.,312,118,"82,533",8.3
105,3 Idiots,2009,170 min,Comedy,Rajkumar Hirani,Rajkumar Hirani (screenplay),Aamir Khan,"Rated PG-13 for thematic material, some disturbing images and crude humor","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",337,50,"204,992",8.4
106,Yojimbo,1961,110 min,Comedy,Akira Kurosawa,Akira Kurosawa (story),Toshirô Mifune,Unrated,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,157,141,"73,604",8.3
107,Jagten,2012,115 min,Drama,Thomas Vinterberg,Tobias Lindholm (screenplay),Mads Mikkelsen,"Rated R for sexual content including a graphic image, violence and language","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",248,349,"168,382",8.3
108,Batman Begins,2005,140 min,Action,Christopher Nolan,Bob Kane (characters),Christian Bale,"Rated PG-13 for intense action violence, disturbing images and some thematic elements","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it.","2,681",477,"974,394",8.3
109,The Treasure of the Sierra Madre,1948,126 min,Adventure,John Huston,John Huston (screenplay),Humphrey Bogart,Not Rated,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",211,107,"78,775",8.3
110,Good Will Hunting,1997,126 min,Drama,Gus Van Sant,Matt Damon,Robin Williams,"Rated R for strong language, including some sex-related dialogue","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",679,160,"600,639",8.3
111,Some Like It Hot,1959,120 min,Adventure,Billy Wilder,Billy Wilder (screenplay),Marilyn Monroe,Not Rated,"When two musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",349,181,"174,243",8.3
112,Up,2009,96 min,Animation,Pete Docter,Pete Docter (story by),Edward Asner,Rated PG for some peril and action,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",698,407,"660,607",8.3
113,Unforgiven,1992,131 min,Drama,Clint Eastwood,David Webb Peoples,Clint Eastwood,"Rated R for language, and violence, and for a scene of sexuality","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.",492,131,"275,943",8.3
114,The Third Man,1949,104 min,Film-Noir,Carol Reed,Graham Greene (by),Orson Welles,Not Rated,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",407,216,"113,107",8.3
115,Children of Heaven,1997,89 min,Drama,Majid Majidi,Majid Majidi,Mohammad Amir Naji,Rated PG for some mild language,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",128,46,"27,197",8.5
116,Raging Bull,1980,129 min,Biography,Martin Scorsese,Jake LaMotta (based on the book by) (as Jake La Motta),Robert De Niro,R,"An emotionally self-destructive boxer's journey through life, as the violence and temper that leads him to the top in the ring destroys his life outside it.",490,151,"233,944",8.3
117,Downfall,2004,156 min,Biography,Oliver Hirschbiegel,Bernd Eichinger (screenplay),Bruno Ganz,"Rated R for strong violence, disturbing images and some nudity","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",562,192,"247,095",8.3
118,Inside Out,2015,95 min,Animation,Pete Docter,Pete Docter (original story by),Amy Poehler,Rated PG for mild thematic elements and some action,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",764,536,"337,694",8.3
119,Die Hard,1988,131 min,Action,John McTiernan,Roderick Thorp (novel),Bruce Willis,R,"John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.",717,233,"589,264",8.2
120,The Great Escape,1963,172 min,Adventure,John Sturges,Paul Brickhill (book),Steve McQueen,Approved,Allied P.O.W.s plan for several hundred of their number to escape from a German camp during World War II.,298,111,"164,695",8.3
121,Chinatown,1974,130 min,Drama,Roman Polanski,Robert Towne,Jack Nicholson,R,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption and murder.",460,223,"215,062",8.2
122,Heat,1995,170 min,Action,Michael Mann,Michael Mann,Al Pacino,Rated R for violence and language,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,882,165,"429,170",8.2
123,Room,2015,118 min,Drama,Lenny Abrahamson,Emma Donoghue (screenplay),Brie Larson,Rated R for language,A young boy is raised within the confines of a small shed.,350,415,"154,061",8.3
124,Pan's Labyrinth,2006,118 min,Drama,Guillermo del Toro,Guillermo del Toro,Ivana Baquero,Rated R for graphic violence and some language,"In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","1,082",406,"464,842",8.2
125,On the Waterfront,1954,108 min,Crime,Elia Kazan,Budd Schulberg (screenplay),Marlon Brando,Not Rated,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,280,134,"100,210",8.3
126,My Neighbor Totoro,1988,86 min,Animation,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi,G,"When two girls move to the country to be near their ailing mother, they have adventures with the wonderous forest spirits who live nearby.",305,142,"170,774",8.3
127,Ikiru,1952,143 min,Drama,Akira Kurosawa,Akira Kurosawa,Takashi Shimura,Not Rated,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,155,110,"41,957",8.3
128,Ran,1985,162 min,Action,Akira Kurosawa,Akira Kurosawa (screenplay),Tatsuya Nakadai,R,"Set in Japan in the 16th century (or so), an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them, or cause them to turn on each other...and him...",234,145,"77,302",8.3
129,The Gold Rush,1925,95 min,Adventure,Charles Chaplin,Charles Chaplin,Charles Chaplin,Not Rated,A prospector goes to the Klondike in search of gold and finds it and more.,148,101,"67,361",8.3
130,Mr. Smith Goes to Washington,1939,129 min,Comedy,Frank Capra,Sidney Buchman (screen play),James Stewart,Not Rated,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",245,96,"76,993",8.3
131,The Bridge on the River Kwai,1957,161 min,Adventure,David Lean,Pierre Boulle (novel),William Holden,Rated PG for mild war violence,"After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.",271,122,"148,483",8.2
132,The Secret in Their Eyes,2009,129 min,Drama,Juan José Campanella,Eduardo Sacheri,Ricardo Darín,"Rated R for a rape scene, violent images, some graphic nudity and language",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,231,261,"130,750",8.2
133,Blade Runner,1982,117 min,Sci-Fi,Ridley Scott,Hampton Fancher (screenplay),Harrison Ford,Rated R for violence,A blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"1,169",302,"459,274",8.2
134,The Seventh Seal,1957,96 min,Drama,Ingmar Bergman,Ingmar Bergman (play),Max von Sydow,Not Rated,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",266,137,"111,209",8.2
135,"Lock, Stock and Two Smoking Barrels",1998,107 min,Comedy,Guy Ritchie,Guy Ritchie,Jason Flemyng,"Rated R for strong violence, pervasive language, sexuality and drug content","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",524,116,"412,828",8.2
136,Sunrise,1927,94 min,Drama,F.W. Murnau,Carl Mayer (scenario),George O'Brien,Not Rated,"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.",188,162,"28,999",8.3
137,Howl's Moving Castle,2004,119 min,Animation,Hayao Miyazaki,Hayao Miyazaki (screenplay),Chieko Baishô,Rated PG for frightening images and brief mild language,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",329,212,"212,493",8.2
138,Casino,1995,178 min,Biography,Martin Scorsese,Nicholas Pileggi (book),Robert De Niro,"Rated R for strong brutal violence, pervasive strong language, drug use and some sexuality","Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire.",533,133,"331,536",8.2
139,The General,1926,67 min,Action,Clyde Bruckman,Buster Keaton,Buster Keaton,Unrated,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",240,113,"53,216",8.2
140,Wild Strawberries,1957,91 min,Drama,Ingmar Bergman,Ingmar Bergman,Victor Sjöström,Unrated,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",145,113,"62,732",8.2
141,Star Wars: The Force Awakens,2015,136 min,Action,J.J. Abrams,Lawrence Kasdan,Daisy Ridley,Rated PG-13 for sci-fi action violence,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.","3,882",776,"556,197",8.2
142,The Elephant Man,1980,124 min,Biography,David Lynch,Christopher De Vore (screenplay),Anthony Hopkins,PG,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous facade, there is revealed a person of intelligence and sensitivity.",355,116,"161,149",8.2
143,Warrior,2011,140 min,Drama,Gavin O'Connor,Gavin O'Connor (screenplay),Tom Hardy,"Rated PG-13 for sequences of intense mixed martial arts fighting, some language and thematic material","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",512,317,"330,156",8.2
144,The Wolf of Wall Street,2013,180 min,Biography,Martin Scorsese,Terence Winter (screenplay),Leonardo DiCaprio,"Rated R for sequences of strong sexual content, graphic nudity, drug use and language throughout, and for some violence","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","1,135",606,"773,094",8.2
145,Judgment at Nuremberg,1961,186 min,Drama,Stanley Kramer,Abby Mann,Spencer Tracy,Not Rated,"In 1948, an American court in occupied Germany tries four Nazi judges for war crimes.",174,73,"44,071",8.3
146,A Beautiful Mind,2001,135 min,Biography,Ron Howard,Akiva Goldsman,Russell Crowe,"Rated PG-13 for intense thematic material, sexual content and a scene of violence","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","1,169",203,"606,375",8.2
147,Tokyo Story,1953,136 min,Drama,Yasujirô Ozu,Kôgo Noda (scenario),Chishû Ryû,Not Rated,An old couple visit their children and grandchildren in the city; but the children have little time for them.,121,132,"26,177",8.3
148,V for Vendetta,2005,132 min,Action,James McTeigue,Lilly Wachowski (screenplay) (as The Wachowski Brothers),Hugo Weaving,Rated R for strong violence and some language,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.","2,039",525,"787,155",8.2
149,Incendies,2010,139 min,Drama,Denis Villeneuve,Denis Villeneuve (scenario),Lubna Azabal,Rated R for some strong violence and language,"Twins journey to the Middle East to discover their family history, and fulfill their mother's last wishes.",155,226,"79,650",8.2
150,Gran Torino,2008,116 min,Drama,Clint Eastwood,Nick Schenk (screenplay),Clint Eastwood,"Rated R for language throughout, and some violence","Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",869,363,"559,009",8.2
151,The Big Lebowski,1998,117 min,Comedy,Joel Coen,Ethan Coen,Jeff Bridges,"Rated R for pervasive strong language, drug content, sexuality and brief violence","""The Dude"" Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","1,026",249,"534,129",8.2
152,The Message,1976,177 min,Adventure,Moustapha Akkad,H.A.L. Craig,Anthony Quinn,PG,"In the 7th century, Mohammed is visited by Angel Gabriel who urges him to lead the people of Mecca and worship God. But they're exiled in Medina before returning to Mecca to take up arms ...
                    See full summary »",110,18,"28,958",8.5
153,The Deer Hunter,1978,183 min,Drama,Michael Cimino,Michael Cimino (story),Robert De Niro,R,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,"1,025",138,"231,316",8.2
154,Trainspotting,1996,94 min,Drama,Danny Boyle,Irvine Welsh (novel),Ewan McGregor,"Rated R for graphic heroin use and resulting depravity, strong language, sex, nudity and some violence","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",512,134,"466,603",8.2
155,Rebecca,1940,130 min,Drama,Alfred Hitchcock,Daphne Du Maurier (celebrated novel),Laurence Olivier,Not Rated,A self-conscious bride is tormented by the memory of her husband's dead first wife.,274,144,"86,931",8.2
156,Fargo,1996,98 min,Crime,Joel Coen,Ethan Coen,William H. Macy,"Rated R for strong violence, language and sexuality",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,816,200,"451,650",8.2
157,Dial M for Murder,1954,105 min,Crime,Alfred Hitchcock,Frederick Knott (screen play),Ray Milland,PG,"An ex-tennis pro carries out a plot to murder his wife. When things go wrong, he improvises a brilliant plan B.",261,124,"105,719",8.2
158,Gone with the Wind,1939,238 min,Drama,Victor Fleming,"Margaret Mitchell (story of the old south ""Gone with the Wind"")",Clark Gable,G,A manipulative Southern belle carries on a turbulent affair with a blockade runner during the American Civil War.,705,156,"214,207",8.2
159,Captain America: Civil War,2016,147 min,Action,Anthony Russo,Christopher Markus (screenplay),Chris Evans,"Rated PG-13 for extended sequences of violence, action and mayhem",Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,"1,010",508,"258,350",8.2
160,Cool Hand Luke,1967,126 min,Drama,Stuart Rosenberg,Donn Pearce (screenplay),Paul Newman,PG,A man refuses to conform to life in a rural prison.,262,96,"119,410",8.2
161,How to Train Your Dragon,2010,98 min,Animation,Dean DeBlois,William Davies (screenplay) (as Will Davies),Jay Baruchel,"Rated PG for sequences of intense action and some scary images, and brief mild language","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",491,288,"482,013",8.2
162,Finding Nemo,2003,100 min,Animation,Andrew Stanton,Andrew Stanton (original story by),Albert Brooks,G,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",865,299,"687,029",8.2
163,The Sixth Sense,1999,107 min,Drama,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis,Rated PG-13 for intense thematic material and violent images,A boy who communicates with spirits that don't know they're dead seeks the help of a disheartened child psychologist.,"2,071",234,"701,064",8.1
164,Come and See,1985,136 min,Drama,Elem Klimov,Ales Adamovich (screenplay) (as A. Adamovich),Aleksey Kravchenko,Not Rated,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",400,68,"25,086",8.3
165,The Thing,1982,109 min,Horror,John Carpenter,Bill Lancaster (screenplay),Kurt Russell,R,"It's the first week of winter in 1982. An American Research Base is greeted by an alien force, that can assimilate anything it touches. It's up to the members to stay alive, and be sure of who is human, and who has become one of the Things.",911,296,"256,242",8.2
166,No Country for Old Men,2007,122 min,Crime,Ethan Coen,Joel Coen (screenplay),Tommy Lee Jones,Rated R for strong graphic violence and some language,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"1,515",488,"608,385",8.1
167,Into the Wild,2007,148 min,Adventure,Sean Penn,Sean Penn (screenplay),Emile Hirsch,Rated R for language and some nudity,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",760,274,"423,657",8.2
168,Mary and Max,2009,92 min,Animation,Adam Elliot,Adam Elliot,Toni Collette,Not Rated,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",164,170,"118,397",8.2
169,Gone Girl,2014,149 min,Crime,David Fincher,Gillian Flynn (screenplay),Ben Affleck,"Rated R for a scene of bloody violence, some strong sexual content/nudity, and language","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","1,123",568,"564,608",8.1
170,Kill Bill: Vol. 1,2003,111 min,Action,Quentin Tarantino,Quentin Tarantino,Uma Thurman,"Rated R for strong bloody violence, language and some sexual content",The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.,"2,102",354,"731,421",8.1
171,It Happened One Night,1934,105 min,Comedy,Frank Capra,Robert Riskin (screen play),Clark Gable,Unrated,"A spoiled heiress, running away from her family, is helped by a man who is actually a reporter in need of a story.",235,124,"64,471",8.2
172,Life of Brian,1979,94 min,Comedy,Terry Jones,Graham Chapman,Graham Chapman,R,"Brian is born on the original Christmas, in the stable next door. He spends his life being mistaken for a messiah.",319,117,"270,774",8.1
173,Nights of Cabiria,1957,110 min,Drama,Federico Fellini,Maria Molinari (novel),Giulietta Masina,Not Rated,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,77,75,"25,664",8.3
174,Rush,2013,123 min,Action,Ron Howard,Peter Morgan,Daniel Brühl,"Rated R for sexual content, nudity, language, some disturbing images and brief drug use",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,475,393,"310,136",8.1
175,There Will Be Blood,2007,158 min,Drama,Paul Thomas Anderson,Paul Thomas Anderson (screenplay),Daniel Day-Lewis,Rated R for some violence,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","1,106",398,"370,834",8.1
