,Title,Year,Runtime,Genre,Director,Writer,Actor,MPAARating,Description,numUserRatings,numCriticRatings,numIMDBRatings,IMDBRating
240,The Avengers,2012,143 min,Action,Joss Whedon,Joss Whedon (screenplay),Robert Downey Jr.,"Rated PG-13 for intense sequences of sci-fi violence and action throughout, and a mild drug reference",Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,"1,717",703,"988,756",8.1
241,A Fistful of Dollars,1964,99 min,Action,Sergio Leone,Adriano Bolzoni (story) (as A. Bonzzoni),Clint Eastwood,Rated R for violence,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",235,122,"146,316",8.0
242,Castle in the Sky,1986,125 min,Animation,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin,PG,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,175,138,"98,581",8.1
243,The King's Speech,2010,118 min,Biography,Tom Hooper,David Seidler (screenplay),Colin Firth,Rated R for some language,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.",632,477,"500,493",8.0
244,Roman Holiday,1953,118 min,Comedy,William Wyler,Ian McLellan Hunter (screenplay),Gregory Peck,Not Rated,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,224,102,"100,055",8.1
245,Throne of Blood,1957,110 min,Drama,Akira Kurosawa,Hideo Oguni (screenplay),Toshirô Mifune,Unrated,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",117,121,"31,525",8.1
246,High Noon,1952,85 min,Thriller,Fred Zinnemann,Carl Foreman (screenplay),Gary Cooper,"Rated PG for some western violence, and smoking","A marshall, personally compelled to face a returning deadly enemy, finds that his own town refuses to help him.",333,152,"79,793",8.1
247,Gangs of Wasseypur,2012,320 min,Action,Anurag Kashyap,Akhilesh Jaiswal,Manoj Bajpayee,Not Rated,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",163,106,"44,781",8.3
248,Beauty and the Beast,1991,84 min,Animation,Gary Trousdale,Linda Woolverton (animation screenplay by),Paige O'Hara,G,"Belle, whose father is imprisoned by the Beast, offers herself instead, unaware her captor to be an enchanted prince.",341,180,"307,072",8.0
249,In the Mood for Love,2000,98 min,Drama,Kar-Wai Wong,Kar-Wai Wong (as Kar Wai Wong),Tony Chiu Wai Leung,Rated PG for thematic elements and brief language,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",349,208,"75,244",8.1
