Date,Open,High,Low,Close,Volume
29-Jul-16,124.65,125.84,123.71,123.94,35058803
28-Jul-16,127.52,128.33,123.63,125.00,78955758
27-Jul-16,122.42,125.00,121.51,123.34,52654239
26-Jul-16,122.00,122.07,120.75,121.22,17611964
25-Jul-16,121.39,121.85,117.78,121.63,18487449
22-Jul-16,119.90,121.01,119.31,121.00,18422410
21-Jul-16,121.92,122.10,120.25,120.61,17801663
20-Jul-16,121.25,122.20,120.56,121.92,20046452
19-Jul-16,118.99,120.85,118.66,120.61,21541292
18-Jul-16,117.32,119.61,116.89,119.37,20868367
15-Jul-16,117.74,118.28,116.58,116.86,16645964
14-Jul-16,117.50,117.64,116.70,117.29,14579736
13-Jul-16,118.39,118.40,116.68,116.78,16207662
12-Jul-16,118.63,118.72,117.57,117.93,15217700
11-Jul-16,117.71,118.70,117.50,117.87,17711570
8-Jul-16,116.43,117.50,115.85,117.24,18142597
7-Jul-16,116.63,116.97,115.36,115.85,16630201
6-Jul-16,113.36,116.79,112.97,116.70,24337586
5-Jul-16,113.94,114.11,112.97,114.00,14207037
1-Jul-16,114.20,115.13,113.81,114.19,14980023
30-Jun-16,114.67,115.18,113.67,114.28,23192716
29-Jun-16,113.37,114.25,113.04,114.16,20968273
28-Jun-16,110.63,112.75,110.55,112.70,26813842
27-Jun-16,111.57,111.57,108.23,108.97,36409606
24-Jun-16,111.01,113.68,111.00,112.08,40643130
23-Jun-16,114.37,115.09,113.54,115.08,16176895
22-Jun-16,114.65,114.74,113.61,113.91,14846329
21-Jun-16,114.12,115.21,113.97,114.38,19166269
20-Jun-16,113.77,114.72,112.75,113.37,20785390
17-Jun-16,114.42,114.43,112.56,113.02,24644308
16-Jun-16,113.87,114.50,112.94,114.39,19236255
15-Jun-16,115.30,115.44,114.07,114.60,19819432
14-Jun-16,114.07,114.95,113.58,114.94,17618479
13-Jun-16,115.00,115.48,113.31,113.95,31718239
10-Jun-16,117.54,118.11,116.26,116.62,18510826
9-Jun-16,118.13,118.68,117.71,118.56,13859240
8-Jun-16,117.76,118.60,117.27,118.39,14505596
7-Jun-16,119.24,119.30,117.67,117.76,17103023
6-Jun-16,118.62,119.43,118.36,118.79,12744676
3-Jun-16,118.98,118.98,117.86,118.47,14135114
2-Jun-16,118.69,119.44,118.22,118.93,13228310
1-Jun-16,118.50,119.08,117.82,118.78,15029494
31-May-16,119.46,120.10,118.12,118.81,23547597
27-May-16,119.56,119.85,119.01,119.38,13464434
26-May-16,118.24,119.76,117.92,119.47,18191472
25-May-16,118.13,118.66,117.38,117.89,20019778
24-May-16,116.24,117.73,116.12,117.70,20074093
23-May-16,117.42,117.60,115.94,115.97,20367390
20-May-16,116.96,117.99,116.95,117.35,18870608
19-May-16,117.05,117.49,115.88,116.81,20485379
18-May-16,116.80,118.27,116.73,117.65,21571824
17-May-16,118.82,119.01,117.20,117.35,21269720
16-May-16,119.38,119.61,117.35,118.67,31178289
13-May-16,120.38,120.64,119.68,119.81,18047101
12-May-16,119.98,120.84,118.90,120.28,21636556
11-May-16,120.41,121.08,119.42,119.52,21927392
10-May-16,119.62,120.50,119.00,120.50,22803690
9-May-16,119.54,120.28,118.90,119.24,21077084
6-May-16,117.16,119.64,117.11,119.49,26216236
5-May-16,118.04,118.98,117.25,117.81,21999237
4-May-16,116.61,118.30,116.57,118.06,23380209
3-May-16,117.52,118.16,117.02,117.43,23746203
2-May-16,117.83,118.73,116.57,118.57,27769280
29-Apr-16,116.82,117.84,115.84,117.58,37031156
28-Apr-16,119.58,120.79,116.23,116.73,86746016
27-Apr-16,107.94,108.94,106.31,108.89,44036820
26-Apr-16,110.49,110.50,108.15,108.76,22189916
25-Apr-16,109.87,110.67,109.07,110.10,20979671
22-Apr-16,111.21,111.75,109.01,110.56,38330597
21-Apr-16,112.55,114.04,112.31,113.44,20409388
20-Apr-16,112.43,113.27,111.56,112.42,20998319
19-Apr-16,111.10,112.45,109.16,112.29,30147644
18-Apr-16,109.74,110.81,109.20,110.45,21092654
15-Apr-16,110.79,110.97,109.20,109.64,20763396
14-Apr-16,110.62,112.04,110.26,110.84,28430914
13-Apr-16,112.23,112.65,106.52,110.51,88113011
12-Apr-16,109.34,111.16,108.99,110.61,26175943
11-Apr-16,110.70,110.91,108.77,108.99,39563863
8-Apr-16,114.25,114.33,109.90,110.63,48424776
7-Apr-16,113.79,114.89,113.07,113.64,20324759
6-Apr-16,112.47,113.81,112.42,113.71,20522412
5-Apr-16,112.11,113.32,111.90,112.22,22752484
4-Apr-16,114.07,114.55,111.61,112.55,48382180
1-Apr-16,113.75,116.17,113.35,116.06,24725954
31-Mar-16,114.70,115.01,113.77,114.10,21138743
30-Mar-16,116.73,116.99,114.36,114.70,33180317
29-Mar-16,113.83,116.32,113.64,116.14,29765753
28-Mar-16,113.32,114.59,112.95,113.69,21312750
24-Mar-16,112.13,113.09,111.68,113.05,17063766
23-Mar-16,112.01,113.19,112.00,112.54,18468742
22-Mar-16,111.36,112.88,111.17,112.25,18957831
21-Mar-16,111.66,112.37,111.03,111.85,18394520
18-Mar-16,111.56,112.42,110.27,111.45,36216958
17-Mar-16,112.15,112.69,110.73,111.02,24204773
16-Mar-16,110.49,112.50,110.10,112.18,24619730
15-Mar-16,109.11,110.83,108.84,110.67,17618460
14-Mar-16,109.28,110.33,108.77,109.89,17236054
