Date,Open,High,Low,Close,Volume
29-Jul-16,16.39,16.74,16.24,16.64,26057239
28-Jul-16,15.89,16.34,15.88,16.31,31442403
27-Jul-16,16.34,16.59,15.69,15.77,83161918
26-Jul-16,18.52,18.65,18.16,18.45,44132848
25-Jul-16,18.43,18.70,18.17,18.65,21485283
22-Jul-16,18.12,18.39,17.76,18.37,19639487
21-Jul-16,18.57,18.80,18.35,18.39,13961365
20-Jul-16,18.52,18.76,18.45,18.56,15029172
19-Jul-16,18.51,18.90,18.27,18.33,27283395
18-Jul-16,18.29,18.75,18.05,18.65,29731219
15-Jul-16,17.98,18.18,17.81,18.08,17371221
14-Jul-16,18.02,18.28,17.91,17.96,19585345
13-Jul-16,18.21,18.32,17.50,17.74,17931884
12-Jul-16,17.98,18.38,17.92,18.10,23816224
11-Jul-16,17.59,17.88,17.52,17.71,24041870
8-Jul-16,17.53,18.16,17.47,18.08,24883974
7-Jul-16,17.24,17.68,17.24,17.37,13492885
6-Jul-16,17.02,17.34,16.81,17.20,15665672
5-Jul-16,17.25,17.28,16.76,17.14,15718026
1-Jul-16,16.93,17.50,16.90,17.28,20744514
30-Jun-16,16.80,17.00,16.73,16.91,14111037
29-Jun-16,16.60,17.01,16.43,16.83,18235982
28-Jun-16,16.24,16.64,16.16,16.42,18717348
27-Jun-16,16.29,16.40,15.46,15.84,23546607
24-Jun-16,16.24,16.90,16.20,16.44,31560052
23-Jun-16,16.30,17.07,16.28,17.04,25373143
22-Jun-16,16.27,16.32,16.04,16.13,13791513
21-Jun-16,16.48,16.56,16.17,16.32,15086452
20-Jun-16,16.34,16.64,16.15,16.34,22876114
17-Jun-16,16.16,16.37,15.96,16.10,32254067
16-Jun-16,15.90,15.95,15.40,15.87,23618674
15-Jun-16,15.71,16.44,15.71,15.96,53535208
14-Jun-16,14.82,15.42,14.80,15.36,37395716
13-Jun-16,14.63,15.30,14.50,14.55,43160866
10-Jun-16,14.45,14.45,14.00,14.02,22092785
9-Jun-16,14.84,14.86,14.59,14.60,12398073
8-Jun-16,15.07,15.12,14.81,14.95,12991012
7-Jun-16,15.36,15.37,14.91,15.00,16517978
6-Jun-16,15.22,15.45,15.18,15.27,13768456
3-Jun-16,15.11,15.35,14.96,15.20,15496556
2-Jun-16,15.04,15.26,14.85,15.20,13186085
1-Jun-16,15.10,15.17,14.62,15.02,18249913
31-May-16,15.12,15.49,15.08,15.22,24296612
27-May-16,14.25,15.10,14.23,15.10,28322390
26-May-16,14.45,14.48,14.19,14.30,21053494
25-May-16,14.07,14.57,14.06,14.41,23119328
24-May-16,14.22,14.22,13.72,14.03,36181060
23-May-16,14.40,14.60,14.33,14.41,12892047
20-May-16,14.20,14.51,14.16,14.43,18481100
19-May-16,14.15,14.30,14.04,14.15,15873752
18-May-16,14.35,14.57,14.05,14.14,14229427
17-May-16,14.21,14.59,14.13,14.34,15556456
16-May-16,14.09,14.37,14.06,14.29,11554681
13-May-16,14.06,14.28,14.00,14.10,12691797
12-May-16,14.63,14.68,14.00,14.08,19811562
11-May-16,14.61,14.86,14.44,14.59,13755455
10-May-16,14.17,14.69,14.16,14.63,14529305
9-May-16,14.28,14.47,14.15,14.20,11436415
6-May-16,14.12,14.40,13.98,14.40,21079842
5-May-16,14.93,14.98,14.08,14.12,29003490
4-May-16,13.95,14.88,13.92,14.84,41618544
3-May-16,14.22,14.25,13.90,14.01,25983649
2-May-16,14.73,14.77,14.17,14.40,26088830
29-Apr-16,14.70,14.93,14.32,14.62,26834661
28-Apr-16,14.85,15.09,14.62,14.64,34645850
27-Apr-16,15.15,15.28,14.81,14.86,84528793
26-Apr-16,17.21,17.98,17.08,17.75,39274283
25-Apr-16,17.20,17.75,16.88,17.09,18933620
22-Apr-16,17.33,17.51,17.02,17.23,14837328
21-Apr-16,17.48,17.77,17.42,17.51,13549015
20-Apr-16,16.94,17.52,16.90,17.40,17721233
19-Apr-16,17.37,17.39,16.68,16.92,24759684
18-Apr-16,17.71,17.72,17.06,17.31,17259128
15-Apr-16,17.52,17.91,17.31,17.58,16332627
14-Apr-16,17.38,17.70,17.14,17.53,16196878
13-Apr-16,16.68,17.40,16.68,17.37,22619818
12-Apr-16,16.50,16.77,16.15,16.57,14872623
11-Apr-16,16.74,16.98,16.41,16.51,14154643
8-Apr-16,17.12,17.25,16.41,16.65,18639903
7-Apr-16,16.88,17.59,16.85,16.98,23287332
6-Apr-16,17.12,17.48,16.90,17.26,23102552
5-Apr-16,17.59,17.83,16.89,17.05,41521334
4-Apr-16,16.00,17.54,15.96,17.09,38127998
1-Apr-16,16.41,16.43,15.83,15.98,20954935
31-Mar-16,16.40,16.84,16.21,16.55,18860415
30-Mar-16,16.16,16.72,16.01,16.36,19317323
29-Mar-16,15.69,15.99,15.33,15.97,16948067
28-Mar-16,15.98,16.00,15.40,15.60,14081303
24-Mar-16,15.94,15.99,15.56,15.91,14825066
23-Mar-16,16.86,16.91,16.01,16.01,17919499
22-Mar-16,16.75,17.01,16.70,16.86,9541746
21-Mar-16,16.83,17.05,16.68,16.89,12547433
18-Mar-16,17.08,17.38,16.76,16.85,21092422
17-Mar-16,16.65,17.15,16.62,16.85,17033660
16-Mar-16,16.33,16.77,16.13,16.70,24705433
15-Mar-16,17.00,17.04,16.14,16.19,19717491
14-Mar-16,16.81,17.32,16.79,17.12,16507358
11-Mar-16,16.77,16.94,16.46,16.81,21475363
10-Mar-16,17.69,17.77,16.38,16.61,33137588
9-Mar-16,18.61,18.74,17.52,17.66,21509309
8-Mar-16,19.10,19.15,18.33,18.33,16351201
